Incident,Time,Nature,Address
14F145910,17:16:04,96 BATTERY,3500 CONGRESS AVE
14F145904,17:18:55,911 HANG UP,4500 ATWOOD DR
14F145905,17:23:48,30 TRAFFIC STOP,2200 COLISEUM BLVD N & STATE BLVD
14F145911,17:28:05,22N CHILD NEGLE,700 PUTNAM ST
14F145907,17:29:14,24 MISSING PERS,00 MAIN ST E
14F145908,17:35:34,911 HANG UP,2000 ANTHONY BLVD N
14F145909,17:39:26,14S SERVING WAR,3500 CONGRESS AVE
14F145912,17:41:39,34 TRAFF HAZARD,10100 ILLINOIS RD & SCOTT RD S
14F145952,17:42:04,51 THEFT,4200 COLDWATER RD
14F145913,17:44:25,30 TRAFFIC STOP,2600 TRIER RD & COLISEUM BLVD E
14F145918,17:45:16,23 VANDALISM,2600 CAMBRIDGE BLVD & TRINITY BLVD
14F145914,17:46:55,30 TRAFFIC STOP,2200 COLISEUM BLVD N & STATE BLVD
14F145916,17:47:42,11C CAGE CAR,5300 COLDWATER RD
14F145915,17:49:11,25 PD ACCIDENT,4300 LIMA RD & COLISEUM BLVD W
14F145919,17:52:10,40A AUDIBLE,900 PRANGE DR
14F145917,17:53:50,40A AUDIBLE,7200 JEFFERSON BLVD W
14F145922,17:57:21,40A AUDIBLE,2800 CHICHESTER LN
14F145920,17:58:07,30 TRAFFIC STOP,2600 COLISEUM BLVD E & TRIER RD
14F145921,17:58:28,50IP BURG I/P,4700 HAFFNER DR
14F145923,18:00:52,46 DOMESTIC,7000 TREVERTON DR
14F145924,18:02:00,48 SUSPICIOUS,2200 POINT WEST DR
14F145925,18:11:48,96 BATTERY,2300 HOLTON AVE
14F145929,18:12:34,1 MEET,100 BAKER ST W
14F145928,18:14:35,51 THEFT,200 MASTERSON AVE E
14F145927,18:15:37,40A AUDIBLE,4000 REED ST
14F145926,18:16:36,30 TRAFFIC STOP,2800 RUPP DR & COLISEUM BLVD E
14F145930,18:19:24,72 FAIL TO PAY,600 DUPONT RD E
14F145937,18:23:50,47 REMOVE ITEMS,5300 PLAZA DR
14F145932,18:24:48,22I JUV INVEST,1200 HARRISON ST S
14F145938,18:27:21,33 DISABLED VEH,30800 I 69 NB
14F145931,18:30:00,37 PARKING VIOL,3000 STINSON DR
14F145933,18:30:32,63 CONTACT,6300 STELLHORN RD
14F145934,18:34:02,"48,36",4600 TACOMA AVE
14F145936,18:39:21,911 HANG UP,1500 WALDRON CIR
14F145935,18:40:37,30 TRAFFIC STOP,3900 HOBSON RD & ST CROIX DR
14F145940,18:44:30,911 HANG UP,6700 ANTHONY BLVD S
14F145939,18:45:37,25 PD ACCIDENT,2300 GLENWOOD AVE & CAREW ST
14F145941,18:50:15,72 FAIL TO PAY,2800 MILLBROOK DR
14F145942,19:00:15,41 MAN DOWN,1000 BROADWAY & JEFFERSON BLVD W
14F145943,19:06:08,46 DOMESTIC,800 TENNESSEE AVE
14F145946,19:06:40,911 HANG UP,1200 THIRD ST
14F145947,19:06:40,"102,TX THREATS",3000 PLAZA DR
14F145945,19:07:58,40A AUDIBLE,2400 JEFFERSON BLVD W
14F145944,19:08:27,59 CUTTING/STAB,4900 TIMBERLAND DR
14F145948,19:12:31,30 TRAFFIC STOP,6500 LIMA RD & LUDWIG RD W
14F145949,19:19:01,40A AUDIBLE,4300 WINTER ST
14F145950,19:31:15,911 HANG UP,100 BRACKENRIDGE ST E
14F145951,19:31:29,"51,35",600 ARCHER AVE
14F145964,19:42:27,22I JUV INVEST,2500 MINER ST & GRACE AVE
14F145953,19:43:49,30 TRAFFIC STOP,700 CLINTON ST S & BERRY ST E
14F145954,19:45:47,34 TRAFF HAZARD,800 BARR ST S
14F145955,19:48:37,30 TRAFFIC STOP,2700 STATE BLVD E & BEACON ST
14F145956,19:48:51,911 HANG UP,3200 STATE BLVD E
14F145957,19:53:56,27 RECKLESS DRI,800 COLISEUM BLVD E & CLINTON ST N
14F145960,19:58:11,911 HANG UP,3900 HARRISON ST S
14F145958,20:02:28,46 DOMESTIC,3400 ADDISON AVE
14F145959,20:02:43,113 SHOTS FIRED,6200 NINA DR
14F145961,20:06:01,99 NARCOTICS,2200 HOLTON AVE
14F145962,20:06:37,911 HANG UP,1600 BARTHOLD ST
14F145963,20:09:14,30 TRAFFIC STOP,700 COLISEUM BLVD E
14F145965,20:11:11,108 FOLLOWUP,2600 LAFAYETTE ST S
14F145966,20:11:41,27 RECKLESS DRI,7500 CLOVER MEADOW DR
14F145967,20:12:46,40P PANIC ALARM,7000 COLDWATER RD
14F145968,20:18:24,"46,96",5700 COVENTRY LN
14F145972,20:20:01,40A AUDIBLE,2200 OLIVER ST
14F145969,20:20:03,113 SHOTS FIRED,6400 MONTE AVE
14F145970,20:21:02,103 UNWANTED,2200 RANDALLIA DR
14F145971,20:21:04,43 DISTURBANCE,6100 JEFFERSON BLVD W
14F145973,20:28:46,30 TRAFFIC STOP,4000 STATE BLVD E & INWOOD DR
14F145974,20:28:47,911 HANG UP,2900 CALHOUN ST S
14F145975,20:30:43,43 DISTURBANCE,5400 LOIS LN
14F145976,20:33:24,20 PROBLEM UNK,2400 CALHOUN ST S
14F145980,20:34:12,22I JUV INVEST,3100 PENNSYLVANIA ST
14F145977,20:35:26,48 SUSPICIOUS,100 CREIGHTON AVE E
14F145978,20:45:09,80 CIVIL INVEST,00 MAIN ST E
14F145979,20:46:51,103 UNWANTED,700 THIRD ST
14F145981,20:50:15,1 MEET,1900 POINSETTE DR
14F145982,20:58:01,911 HANG UP,4600 JASON DR
14F145984,21:04:23,"48,36",2600 MCKINNIE AVE
14F146004,21:05:18,108 FOLLOWUP,3000 BROADWAY
14F145983,21:07:31,"51,35",1700 APPLE GLEN BLVD
14F145985,21:12:15,"48,36",7500 LESWOOD CT & LINDEN DR
14F145986,21:15:30,66 72 HOUR,700 BROADWAY
14F145987,21:20:23,43 DISTURBANCE,5000 MADIERA DR
14F145989,21:21:12,911 HANG UP,1100 STOPHLET ST
14F145988,21:22:00,911 HANG UP,10900 SHERRELWOOD CT
14F146001,21:28:21,51 THEFT,5300 COLDWATER RD
14F145990,21:29:02,911 HANG UP,6600 CONSTITUTION DR
14F145992,21:31:37,48 SUSPICIOUS,2600 JOHN ST
14F145991,21:32:38,48 SUSPICIOUS,2100 WELLS ST & FLORENCE AVE
14F145993,21:33:01,30 TRAFFIC STOP,1000 TECUMSEH ST & LAKE AVE
14F145994,21:38:44,65T SUICIDE THR,8200 BRIDGEWAY LN
14F145995,21:39:31,46 DOMESTIC,400 ECKART ST
14F145996,21:41:52,62 PARTY ARMED,1800 FOURTH ST W
14F145997,21:44:13,"51,35",5400 COVENTRY LN
14F145998,21:49:33,96IP,5100 STONEHEDGE BLVD
14F145999,21:49:40,46 DOMESTIC,1300 LILLIE ST
14F146000,21:54:08,911 HANG UP,2700 EVANS ST
14F146002,22:09:11,30 TRAFFIC STOP,500 RUDISILL BLVD E & WARSAW ST
14F146003,22:10:02,103 UNWANTED,2000 COLISEUM BLVD N
14F146006,22:15:57,911 HANG UP,5000 TRUEMPER WAY
14F146005,22:18:51,"48,35",9600 STELLHORN RD
14F146011,22:21:12,63 CONTACT,2000 BROADWAY
14F146007,22:22:45,65T SUICIDE THR,700 BROADWAY
14F146009,22:22:47,40A AUDIBLE,4200 JEFFERSON BLVD W
14F146008,22:22:51,34 TRAFF HAZARD,31200 I 69 SB
14F146014,22:23:30,44LP,7400 MILL RUN DR
14F146013,22:25:54,44LM,3000 GETZ RD
14F146010,22:26:12,26 PI ACCIDENT,6200 EVARD RD & MAPLECREST RD
14F146016,22:26:27,26 PI ACCIDENT,8600 ST JOE RD & MAPLECREST RD
14F146015,22:30:16,44LM,1600 HOBSON RD
