Incident,Time,Nature,Address
14F144321,22:25:27,30 TRAFFIC STOP,8100 COLDWATER RD
14F144322,22:28:32,"43,62",300 DEWALD ST W
14F144323,22:29:15,"102,TX THREATS",7700 TENDALL CT
14F144324,22:31:32,28 DUI,2900 DUPONT RD E
14F144325,22:33:04,37 PARKING VIOL,2800 ALEXANDER ST
14F144326,22:35:59,46 DOMESTIC,2700 COLISEUM BLVD W
14F144329,22:39:11,911 HANG UP,2700 WASHINGTON CENTER RD W
14F144327,22:40:14,30 TRAFFIC STOP,2800 MAIN ST W & JEFFERSON BLVD W
14F144328,22:42:16,129,9500 SARATOGA RD
14F144332,22:49:36,40 ALARM,8900 LIMA RD
14F144331,22:51:48,44 NUISANCE,10100 BITTERROOT DR
14F144330,22:52:14,33 DISABLED VEH,3100 I 469 SB
14F144333,22:53:37,65T SUICIDE THR,2200 CHARLOTTE AVE
14F144334,22:54:31,30 TRAFFIC STOP,1700 WAYNE ST E & ANTHONY BLVD S
14F144335,22:55:28,30 TRAFFIC STOP,2600 HOLTON AVE & PONTIAC ST E
14F144336,22:57:34,30 TRAFFIC STOP,4200 PLAZA DR & WERLING DR
14F144337,22:57:57,44LM,2700 STARDALE DR
14F144338,23:03:04,30 TRAFFIC STOP,5800 TURTLE CREEK DR & PAULDING RD
14F144339,23:07:19,44LM,6900 POINTE INVERNESS WAY
14F144340,23:10:22,44LM,5300 MCCLELLAN ST
14F144341,23:18:50,30 TRAFFIC STOP,8900 COLDWATER RD & WALLEN RD E
14F144342,23:20:28,48 SUSPICIOUS,300 WASHINGTON CENTER RD E & COLDW
14F144343,23:24:09,40A AUDIBLE,6100 JEFFERSON BLVD W
14F144344,23:26:24,46 DOMESTIC,2400 DODGE AVE
